module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
K1_cpdb_388,GO:0034198,biological_process,"response to stimulus, cellular process","response to nutrient levels, cellular response to stimulus, response to stress","cellular response to stress, cellular response to nutrient levels, response to starvation","response to amino acid starvation, cellular response to starvation",,,,,,,
K1_cpdb_398,GO:0160023,biological_process,response to stimulus,response to external stimulus,reflex,,,,,,,,
K1_cpdb_401,GO:0008610,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process",lipid metabolic process,,,,,,,
K1_cpdb_402,GO:0006820,biological_process,localization,establishment of localization,transport,monoatomic ion transport,,,,,,,
K1_cpdb_409,GO:0001682,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, RNA processing","RNA metabolic process, RNA 5'-end processing, tRNA processing","tRNA metabolic process, tRNA 5'-end processing",,,,,
K1_cpdb_415,GO:0031146,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process, catabolic process","macromolecule catabolic process, protein metabolic process","proteolysis, protein catabolic process, modification-dependent macromolecule catabolic process","proteasomal protein catabolic process, modification-dependent protein catabolic process, proteolysis involved in protein catabolic process","ubiquitin-dependent protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process",,,,
K1_cpdb_425,GO:0051480,biological_process,homeostatic process,"cellular homeostasis, chemical homeostasis","monoatomic ion homeostasis, intracellular chemical homeostasis, inorganic ion homeostasis","monoatomic cation homeostasis, intracellular monoatomic ion homeostasis, calcium ion homeostasis","intracellular monoatomic cation homeostasis, intracellular calcium ion homeostasis",,,,,,
K1_cpdb_428,GO:0031163,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component assembly,,,,,,,
K1_cpdb_437,GO:0030071,biological_process,biological regulation,regulation of biological process,regulation of cellular process,"regulation of cellular component organization, regulation of cell cycle","regulation of organelle organization, regulation of mitotic cell cycle, regulation of cell cycle process","regulation of mitotic cell cycle phase transition, regulation of cell cycle phase transition, regulation of chromosome organization, regulation of chromosome segregation","regulation of sister chromatid segregation, regulation of metaphase/anaphase transition of cell cycle",,,,
K1_cpdb_440,GO:0042254,biological_process,cellular process,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,,,,,,,
K1_cpdb_442,GO:0072384,biological_process,"localization, cellular process","microtubule-based process, establishment of localization, organelle localization, cellular localization","microtubule-based movement, intracellular transport, transport, establishment of organelle localization, establishment of localization in cell","microtubule-based transport, transport along microtubule, cytoskeleton-dependent intracellular transport",,,,,,,
K1_cpdb_444,GO:0006893,biological_process,"localization, cellular process","vesicle-mediated transport, cellular localization, establishment of localization","localization within membrane, vesicle-mediated transport to the plasma membrane, transport, Golgi vesicle transport",post-Golgi vesicle-mediated transport,,,,,,,
K1_cpdb_445,GO:0110010,biological_process,"localization, cellular process","macromolecule localization, cellular localization, establishment of localization, export from cell","secretion by cell, transport, establishment of protein localization, cellular macromolecule localization","secretion, protein secretion, nitrogen compound transport, protein transport, establishment of protein localization to extracellular region, protein localization",protein localization to extracellular region,,,,,,
K1_cpdb_448,GO:0006119,biological_process,cellular process,metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,aerobic respiration,,,,,
K1_cpdb_449,GO:0007007,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"organelle organization, membrane organization","mitochondrion organization, mitochondrial membrane organization",,,,,,
K1_cpdb_452,GO:0006913,biological_process,"localization, cellular process","cellular localization, establishment of localization","intracellular transport, transport, establishment of localization in cell",nuclear transport,,,,,,,
K1_cpdb_453,GO:0043687,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","macromolecule modification, protein metabolic process",protein modification process,,,,,,
K1_cpdb_454,GO:1902175,biological_process,biological regulation,regulation of biological process,"regulation of signaling, regulation of cellular process, regulation of response to stimulus","regulation of signal transduction, regulation of programmed cell death, regulation of cell communication","regulation of intracellular signal transduction, regulation of apoptotic signaling pathway, regulation of apoptotic process",regulation of intrinsic apoptotic signaling pathway,,,,,
K1_cpdb_474,GO:0019752,biological_process,cellular process,metabolic process,small molecule metabolic process,organic acid metabolic process,oxoacid metabolic process,,,,,,
K1_cpdb_478,GO:0006805,biological_process,cellular process,metabolic process,,,,,,,,,
K1_cpdb_483,GO:0051917,biological_process,biological regulation,"regulation of biological process, regulation of biological quality","regulation of multicellular organismal process, regulation of hemostasis, regulation of body fluid levels, regulation of response to stimulus","regulation of blood coagulation, regulation of response to external stimulus, regulation of response to stress, regulation of coagulation",regulation of response to wounding,regulation of wound healing,,,,,
K1_cpdb_484,GO:0030198,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"extracellular structure organization, external encapsulating structure organization",,,,,,,
K1_cpdb_497,GO:0051123,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly","protein-containing complex assembly, protein-DNA complex organization",protein-DNA complex assembly,transcription preinitiation complex assembly,,,,
K1_cpdb_499,GO:0032720,biological_process,biological regulation,regulation of biological process,"regulation of multicellular organismal process, regulation of cellular process, negative regulation of biological process","regulation of metabolic process, negative regulation of cellular process, regulation of cytokine production, negative regulation of multicellular organismal process","regulation of macromolecule metabolic process, negative regulation of metabolic process, negative regulation of cytokine production, regulation of tumor necrosis factor superfamily cytokine production, regulation of biosynthetic process","negative regulation of biosynthetic process, regulation of tumor necrosis factor production, negative regulation of macromolecule metabolic process, negative regulation of tumor necrosis factor superfamily cytokine production, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, regulation of gene expression",negative regulation of gene expression,,,
K1_cpdb_502,GO:0010273,biological_process,detoxification,detoxification of inorganic compound,,,,,,,,,
K1_cpdb_503,GO:0000045,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"cellular component assembly, organelle organization","organelle assembly, vacuole organization",autophagosome organization,,,,,
K1_cpdb_504,GO:0016054,biological_process,cellular process,metabolic process,"catabolic process, small molecule metabolic process","small molecule catabolic process, cellular catabolic process, organic acid metabolic process",,,,,,,
K1_cpdb_505,GO:1990542,biological_process,"localization, cellular process","transmembrane transport, establishment of localization",transport,mitochondrial transport,,,,,,,
K1_cpdb_508,GO:0009100,biological_process,cellular process,metabolic process,"primary metabolic process, carbohydrate derivative metabolic process, macromolecule metabolic process",protein metabolic process,,,,,,,
K1_cpdb_509,GO:1901137,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, biosynthetic process",,,,,,,,
K1_cpdb_519,GO:0031109,biological_process,cellular process,"cellular component organization or biogenesis, microtubule-based process","cellular component organization, microtubule cytoskeleton organization",organelle organization,cytoskeleton organization,,,,,,
K1_cpdb_523,GO:0030049,biological_process,cellular process,actin filament-based process,actin filament-based movement,actin-mediated cell contraction,actin-myosin filament sliding,,,,,,
K1_cpdb_524,GO:0035542,biological_process,biological regulation,regulation of biological process,regulation of cellular process,"regulation of cellular component biogenesis, regulation of cellular component organization",regulation of protein-containing complex assembly,,,,,,
K1_cpdb_525,GO:0016197,biological_process,"localization, cellular process","vesicle-mediated transport, cellular localization, establishment of localization","intracellular transport, transport, establishment of localization in cell",,,,,,,,
K1_cpdb_526,GO:0006457,biological_process,cellular process,,,,,,,,,,
K1_cpdb_527,GO:0042147,biological_process,"localization, cellular process","vesicle-mediated transport, cellular localization, establishment of localization","intracellular transport, transport, endosomal transport, establishment of localization in cell",cytosolic transport,,,,,,,
K1_cpdb_528,GO:0007035,biological_process,"homeostatic process, biological regulation","regulation of pH, cellular homeostasis, chemical homeostasis, regulation of biological quality","monoatomic ion homeostasis, regulation of cellular pH, intracellular chemical homeostasis, regulation of intracellular pH","monoatomic cation homeostasis, intracellular pH reduction, intracellular monoatomic ion homeostasis",intracellular monoatomic cation homeostasis,,,,,,
