module,REAC_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway
K1_cpdb_69,R-HSA-432720,Vesicle-mediated transport,Membrane Trafficking,trans-Golgi Network Vesicle Budding,Lysosome Vesicle Biogenesis,,,,,
K1_cpdb_72,R-HSA-73780,Gene expression (Transcription),RNA Polymerase III Transcription,RNA Polymerase III Chain Elongation,,,,,,
K1_cpdb_74,R-HSA-6811438,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Intra-Golgi traffic,,,,,
K1_cpdb_76,R-HSA-176412,Cell Cycle,"Cell Cycle, Mitotic",Regulation of mitotic cell cycle,APC/C-mediated degradation of cell cycle proteins,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Phosphorylation of the APC/C,,,
K1_cpdb_78,R-HSA-429958,Metabolism of RNA,Deadenylation-dependent mRNA decay,mRNA decay by 3' to 5' exoribonuclease,,,,,,
K1_cpdb_83,R-HSA-6811438,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Intra-Golgi traffic,,,,,
K1_cpdb_85,R-HSA-9615933,Cell Cycle,"Cell Cycle, Mitotic",M Phase,Mitotic Metaphase and Anaphase,Mitotic Anaphase,Nuclear Envelope (NE) Reassembly,Postmitotic nuclear pore complex (NPC) reformation,,
K1_cpdb_91,R-HSA-72702,Metabolism of proteins,Translation,Eukaryotic Translation Initiation,Cap-dependent Translation Initiation,Ribosomal scanning and start codon recognition,,,,
K1_cpdb_93,R-HSA-390450,Metabolism of proteins,Protein folding,Chaperonin-mediated protein folding,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,Folding of actin by CCT/TriC,,,,
K1_cpdb_121,R-HSA-5669034,Immune System,Cytokine Signaling in Immune system,TNFR2 non-canonical NF-kB pathway,TNFs bind their physiological receptors,,,,,
K1_cpdb_131,R-HSA-2187338,Sensory Perception,Visual phototransduction,,,,,,,
K1_cpdb_135,R-HSA-373076,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),,,,,
K1_cpdb_149,R-HSA-444821,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Relaxin receptors,,,
K1_cpdb_158,R-HSA-6783310,DNA Repair,Fanconi Anemia Pathway,,,,,,,
K1_cpdb_173,R-HSA-141444,Cell Cycle,Cell Cycle Checkpoints,Mitotic Spindle Checkpoint,Amplification of signal from the kinetochores,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,,,,
K1_cpdb_174,R-HSA-380287,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G2-G2/M phases,G2/M Transition,Centrosome maturation,,,,
K1_cpdb_175,R-HSA-9754560,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-2 Infection,SARS-CoV-2-host interactions,SARS-CoV-2 modulates autophagy,,
K1_cpdb_181,R-HSA-162588,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,HIV Life Cycle,Late Phase of HIV Life Cycle,Budding and maturation of HIV virion,,
K1_cpdb_219,R-HSA-211859,Metabolism,Biological oxidations,,,,,,,
K1_cpdb_220,R-HSA-375281,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Hormone ligand-binding receptors,,,,
K1_cpdb_230,R-HSA-420029,Cell-Cell communication,Cell junction organization,Cell-cell junction organization,Tight junction interactions,,,,,
K1_cpdb_248,R-HSA-451927,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-2 family signaling,,,,,
K1_cpdb_251,R-HSA-977443,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,GABA receptor activation,,,,,
K1_cpdb_261,R-HSA-5690714,Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),CD22 mediated BCR regulation,,,,,
K1_cpdb_270,R-HSA-73863,Gene expression (Transcription),RNA Polymerase I Transcription,RNA Polymerase I Transcription Termination,,,,,,
K1_cpdb_276,R-HSA-5620916,Organelle biogenesis and maintenance,Cilium Assembly,Cargo trafficking to the periciliary membrane,VxPx cargo-targeting to cilium,,,,,
K1_cpdb_278,R-HSA-432720,Vesicle-mediated transport,Membrane Trafficking,trans-Golgi Network Vesicle Budding,Lysosome Vesicle Biogenesis,,,,,
K1_cpdb_280,R-HSA-6811436,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-independent Golgi-to-ER retrograde traffic,,,,
K1_cpdb_281,R-HSA-72731,Metabolism of proteins,Translation,Eukaryotic Translation Initiation,Cap-dependent Translation Initiation,Recycling of eIF2:GDP,,,,
K1_cpdb_286,R-HSA-6811434,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-dependent Golgi-to-ER retrograde traffic,,,,
K1_cpdb_287,R-HSA-379716,Metabolism of proteins,Translation,tRNA Aminoacylation,Cytosolic tRNA aminoacylation,,,,,
K1_cpdb_288,R-HSA-171306,Cell Cycle,Chromosome Maintenance,Telomere Maintenance,Packaging Of Telomere Ends,,,,,
K1_cpdb_291,R-HSA-435354,Transport of small molecules,SLC-mediated transmembrane transport,"Transport of bile salts and organic acids, metal ions and amine compounds",Metal ion SLC transporters,Zinc transporters,,,,
K1_cpdb_300,R-HSA-5620924,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,,,,,,
K1_cpdb_322,R-HSA-140837,Hemostasis,Formation of Fibrin Clot (Clotting Cascade),Intrinsic Pathway of Fibrin Clot Formation,,,,,,
K1_cpdb_327,R-HSA-392170,Hemostasis,"Platelet activation, signaling and aggregation",Signal amplification,ADP signalling through P2Y purinoceptor 12,,,,,
K1_cpdb_328,R-HSA-373076,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),,,,,
K1_cpdb_348,R-HSA-2142789,Metabolism,Metabolism of vitamins and cofactors,Metabolism of cofactors,Ubiquinol biosynthesis,,,,,
K1_cpdb_350,R-HSA-1660661,Metabolism,Metabolism of lipids,Sphingolipid metabolism,Sphingolipid de novo biosynthesis,,,,,
K1_cpdb_362,R-HSA-75955,Gene expression (Transcription),RNA Polymerase II Transcription,RNA Polymerase II Transcription Elongation,,,,,,
K1_cpdb_364,R-HSA-5625970,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases activate KTN1,,,,
K1_cpdb_367,R-HSA-983170,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",,,,,
K1_cpdb_374,R-HSA-5693571,DNA Repair,DNA Double-Strand Break Repair,Nonhomologous End-Joining (NHEJ),,,,,,
K1_cpdb_388,R-HSA-9639288,Cellular responses to stimuli,Cellular responses to stress,Cellular response to starvation,Amino acids regulate mTORC1,,,,,
K1_cpdb_425,R-HSA-418890,Developmental Biology,Nervous system development,Axon guidance,Netrin-1 signaling,Role of second messengers in netrin-1 signaling,,,,
K1_cpdb_428,R-HSA-1362409,Metabolism,Mitochondrial iron-sulfur cluster biogenesis,,,,,,,
K1_cpdb_436,R-HSA-77595,Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,Processing of Intronless Pre-mRNAs,,,,,,
K1_cpdb_437,R-HSA-69618,Cell Cycle,Cell Cycle Checkpoints,Mitotic Spindle Checkpoint,,,,,,
K1_cpdb_438,R-HSA-3247509,Chromatin organization,Chromatin modifying enzymes,,,,,,,
K1_cpdb_440,R-HSA-8868773,Metabolism of RNA,rRNA processing,rRNA processing in the nucleus and cytosol,,,,,,
K1_cpdb_442,R-HSA-68877,Cell Cycle,"Cell Cycle, Mitotic",M Phase,Mitotic Prometaphase,,,,,
K1_cpdb_445,R-HSA-164940,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,Host Interactions of HIV factors,The role of Nef in HIV-1 replication and disease pathogenesis,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,Nef mediated downregulation of MHC class I complex cell surface expression,
K1_cpdb_446,R-HSA-6811436,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-independent Golgi-to-ER retrograde traffic,,,,
K1_cpdb_448,R-HSA-163210,Metabolism,Aerobic respiration and respiratory electron transport,Formation of ATP by chemiosmotic coupling,,,,,,
K1_cpdb_449,R-HSA-1268020,Protein localization,Mitochondrial protein import,,,,,,,
K1_cpdb_453,R-HSA-75035,Cell Cycle,Cell Cycle Checkpoints,G2/M Checkpoints,G2/M DNA damage checkpoint,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,,,,
K1_cpdb_468,R-HSA-5620922,Organelle biogenesis and maintenance,Cilium Assembly,Cargo trafficking to the periciliary membrane,BBSome-mediated cargo-targeting to cilium,,,,,
K1_cpdb_472,R-HSA-1362300,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G1 phase and G1/S transition,G0 and Early G1,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,,,,
K1_cpdb_474,R-HSA-499943,Metabolism,Metabolism of nucleotides,Interconversion of nucleotide di- and triphosphates,,,,,,
K1_cpdb_478,R-HSA-211897,Metabolism,Biological oxidations,Phase I - Functionalization of compounds,Cytochrome P450 - arranged by substrate type,,,,,
K1_cpdb_479,R-HSA-2206281,Disease,Diseases of metabolism,Diseases of carbohydrate metabolism,Mucopolysaccharidoses,,,,,
K1_cpdb_480,R-HSA-9840310,Metabolism,Metabolism of lipids,Sphingolipid metabolism,Glycosphingolipid metabolism,Glycosphingolipid catabolism,,,,
K1_cpdb_483,R-HSA-381426,Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,,,,,,
K1_cpdb_484,R-HSA-1566948,Extracellular matrix organization,Elastic fibre formation,,,,,,,
K1_cpdb_487,R-HSA-2644607,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Signaling by NOTCH1 in Cancer,FBXW7 Mutants and NOTCH1 in Cancer,Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,,,,
K1_cpdb_497,R-HSA-167162,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,HIV Life Cycle,Late Phase of HIV Life Cycle,Transcription of the HIV genome,RNA Polymerase II HIV Promoter Escape,
K1_cpdb_502,R-HSA-5661231,Cellular responses to stimuli,Response to metal ions,Metallothioneins bind metals,,,,,,
K1_cpdb_508,R-HSA-1630316,Metabolism,Metabolism of carbohydrates,Glycosaminoglycan metabolism,,,,,,
K1_cpdb_518,R-HSA-3065676,Metabolism of proteins,Post-translational protein modification,SUMOylation,Processing and activation of SUMO,SUMO is conjugated to E1 (UBA2:SAE1),,,,
K1_cpdb_523,R-HSA-390522,Muscle contraction,Striated Muscle Contraction,,,,,,,
K1_cpdb_525,R-HSA-432722,Vesicle-mediated transport,Membrane Trafficking,trans-Golgi Network Vesicle Budding,Golgi Associated Vesicle Biogenesis,,,,,
K1_cpdb_526,R-HSA-446353,Cell-Cell communication,Cell junction organization,Cell-extracellular matrix interactions,,,,,,
K1_cpdb_527,R-HSA-3238698,Signal Transduction,Signaling by WNT,WNT ligand biogenesis and trafficking,,,,,,
K1_cpdb_528,R-HSA-917977,Transport of small molecules,Iron uptake and transport,Transferrin endocytosis and recycling,,,,,,
K1_cpdb_531,R-HSA-190840,Vesicle-mediated transport,Membrane Trafficking,Gap junction trafficking and regulation,Gap junction trafficking,Gap junction assembly,Transport of connexons to the plasma membrane,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,,
K1_cpdb_533,R-HSA-420597,Cell-Cell communication,Cell junction organization,Cell-cell junction organization,Adherens junctions interactions,Nectin/Necl  trans heterodimerization,,,,
K1_cpdb_537,R-HSA-4641263,Signal Transduction,Signaling by WNT,TCF dependent signaling in response to WNT,Regulation of FZD by ubiquitination,,,,,
K1_cpdb_549,R-HSA-9758941,Developmental Biology,Gastrulation,,,,,,,
K1_cpdb_550,R-HSA-8939243,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by RUNX1,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,,,,
K1_cpdb_567,R-HSA-73780,Gene expression (Transcription),RNA Polymerase III Transcription,RNA Polymerase III Chain Elongation,,,,,,
K1_cpdb_582,R-HSA-5620912,Organelle biogenesis and maintenance,Cilium Assembly,Anchoring of the basal body to the plasma membrane,,,,,,
K1_cpdb_583,R-HSA-5620912,Organelle biogenesis and maintenance,Cilium Assembly,Anchoring of the basal body to the plasma membrane,,,,,,
K1_cpdb_586,R-HSA-983189,Hemostasis,Factors involved in megakaryocyte development and platelet production,Kinesins,,,,,,
K1_cpdb_595,R-HSA-1799339,Metabolism of proteins,Translation,SRP-dependent cotranslational protein targeting to membrane,,,,,,
K1_cpdb_596,R-HSA-8873719,Metabolism of proteins,Post-translational protein modification,RAB geranylgeranylation,,,,,,
K1_cpdb_598,R-HSA-177243,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,Host Interactions of HIV factors,Interactions of Rev with host cellular proteins,,,
K1_cpdb_599,R-HSA-379716,Metabolism of proteins,Translation,tRNA Aminoacylation,Cytosolic tRNA aminoacylation,,,,,
K1_cpdb_600,R-HSA-216083,Extracellular matrix organization,Integrin cell surface interactions,,,,,,,
K1_cpdb_612,R-HSA-380287,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G2-G2/M phases,G2/M Transition,Centrosome maturation,,,,
K1_cpdb_613,R-HSA-4655427,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of DNA methylation proteins,,,,
K1_cpdb_622,R-HSA-8868773,Metabolism of RNA,rRNA processing,rRNA processing in the nucleus and cytosol,,,,,,
K1_cpdb_629,R-HSA-9013408,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RHOG GTPase cycle,,,,
K1_cpdb_634,R-HSA-442755,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Activation of NMDA receptors and postsynaptic events,,,,,
K1_cpdb_635,R-HSA-3700989,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional Regulation by TP53,,,,,
K1_cpdb_648,R-HSA-373076,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),,,,,
K1_cpdb_650,R-HSA-425407,Transport of small molecules,SLC-mediated transmembrane transport,,,,,,,
K1_cpdb_660,R-HSA-9917777,Gene expression (Transcription),Epigenetic regulation of gene expression,Epigenetic regulation by WDR5-containing histone modifying complexes,,,,,,
K1_cpdb_661,R-HSA-15869,Metabolism,Metabolism of nucleotides,,,,,,,
K1_cpdb_662,R-HSA-70263,Metabolism,Metabolism of carbohydrates,Glucose metabolism,Gluconeogenesis,,,,,
K1_cpdb_664,R-HSA-9730628,Sensory Perception,Sensory perception of taste,Sensory perception of salty taste,,,,,,
K1_cpdb_667,R-HSA-8963899,Transport of small molecules,"Plasma lipoprotein assembly, remodeling, and clearance",Plasma lipoprotein remodeling,,,,,,
K1_cpdb_668,R-HSA-72172,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,,,,,,
K1_cpdb_669,R-HSA-5663213,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate WASPs and WAVEs,,,,
K1_cpdb_677,R-HSA-1250342,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by ERBB4,PI3K events in ERBB4 signaling,,,,,
K1_cpdb_678,R-HSA-111459,Programmed Cell Death,Apoptosis,Intrinsic Pathway for Apoptosis,Apoptotic factor-mediated response,Cytochrome c-mediated apoptotic response,Activation of caspases through apoptosome-mediated cleavage,,,
K1_cpdb_680,R-HSA-9755779,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-2 Infection,SARS-CoV-2-host interactions,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,,
K1_cpdb_699,R-HSA-212165,Gene expression (Transcription),Epigenetic regulation of gene expression,,,,,,,
K1_cpdb_708,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
K1_cpdb_717,R-HSA-9006335,Signal Transduction,Signaling by Erythropoietin,,,,,,,
K1_cpdb_718,R-HSA-512988,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,"Interleukin-3, Interleukin-5 and GM-CSF signaling",,,,,
K1_cpdb_719,R-HSA-400685,Developmental Biology,Nervous system development,Axon guidance,Semaphorin interactions,Sema4D in semaphorin signaling,,,,
K1_cpdb_720,R-HSA-9006934,Signal Transduction,Signaling by Receptor Tyrosine Kinases,,,,,,,
K1_cpdb_721,R-HSA-111453,Programmed Cell Death,Apoptosis,Intrinsic Pathway for Apoptosis,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,,,,
K1_cpdb_736,R-HSA-77595,Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,Processing of Intronless Pre-mRNAs,,,,,,
K1_cpdb_737,R-HSA-8849471,Signal Transduction,Signaling by Non-Receptor Tyrosine Kinases,Signaling by PTK6,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",,,,,
K1_cpdb_743,R-HSA-9648895,Cellular responses to stimuli,Cellular responses to stress,Response of EIF2AK1 (HRI) to heme deficiency,,,,,,
K1_cpdb_745,R-HSA-5576891,Muscle contraction,Cardiac conduction,,,,,,,
K1_cpdb_756,R-HSA-75893,Signal Transduction,Death Receptor Signaling,TNF signaling,,,,,,
K1_cpdb_757,R-HSA-5676594,Immune System,Cytokine Signaling in Immune system,TNFR2 non-canonical NF-kB pathway,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,,,,,
K1_cpdb_759,R-HSA-139853,Hemostasis,Platelet homeostasis,Platelet calcium homeostasis,Elevation of cytosolic Ca2+ levels,,,,,
K1_cpdb_760,R-HSA-140875,Hemostasis,Formation of Fibrin Clot (Clotting Cascade),Common Pathway of Fibrin Clot Formation,,,,,,
K1_cpdb_764,R-HSA-5619507,Developmental Biology,Activation of HOX genes during differentiation,,,,,,,
K1_cpdb_765,R-HSA-5620922,Organelle biogenesis and maintenance,Cilium Assembly,Cargo trafficking to the periciliary membrane,BBSome-mediated cargo-targeting to cilium,,,,,
K1_cpdb_767,R-HSA-383280,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Nuclear Receptor transcription pathway,,,,,
K1_cpdb_768,R-HSA-416476,Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G alpha (q) signalling events,,,,,
K1_cpdb_781,R-HSA-983168,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,Antigen processing: Ubiquitination & Proteasome degradation,,,,,
K1_cpdb_784,R-HSA-500792,Signal Transduction,Signaling by GPCR,GPCR ligand binding,,,,,,
K1_cpdb_786,R-HSA-72187,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA 3'-end processing,,,,,,
K1_cpdb_787,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
K1_cpdb_788,R-HSA-9013149,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RAC1 GTPase cycle,,,,
K1_cpdb_789,R-HSA-8856828,Vesicle-mediated transport,Membrane Trafficking,Clathrin-mediated endocytosis,,,,,,
K1_cpdb_796,R-HSA-606279,Cell Cycle,Chromosome Maintenance,Nucleosome assembly,Deposition of new CENPA-containing nucleosomes at the centromere,,,,,
K1_cpdb_806,R-HSA-425407,Transport of small molecules,SLC-mediated transmembrane transport,,,,,,,
K1_cpdb_807,R-HSA-159740,Metabolism of proteins,Post-translational protein modification,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation","Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",Gamma-carboxylation of protein precursors,,,,
K1_cpdb_811,R-HSA-5140745,Signal Transduction,Signaling by WNT,Beta-catenin independent WNT signaling,PCP/CE pathway,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",,,,
K1_cpdb_812,R-HSA-198725,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Nuclear Events (kinase and transcription factor activation),,,,
K1_cpdb_813,R-HSA-9733709,Developmental Biology,Cardiogenesis,,,,,,,
K1_cpdb_814,R-HSA-186712,Developmental Biology,Regulation of beta-cell development,,,,,,,
K1_cpdb_826,R-HSA-975634,Sensory Perception,Visual phototransduction,Retinoid metabolism and transport,,,,,,
K1_cpdb_827,R-HSA-114608,Hemostasis,"Platelet activation, signaling and aggregation",Response to elevated platelet cytosolic Ca2+,Platelet degranulation ,,,,,
K1_cpdb_831,R-HSA-390522,Muscle contraction,Striated Muscle Contraction,,,,,,,
K1_cpdb_832,R-HSA-1368108,Circadian Clock,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",,,,,,,
K1_cpdb_834,R-HSA-5690714,Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),CD22 mediated BCR regulation,,,,,
K1_cpdb_844,R-HSA-5663213,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate WASPs and WAVEs,,,,
K1_cpdb_845,R-HSA-9707616,Cellular responses to stimuli,Cellular responses to stress,Heme signaling,,,,,,
K1_cpdb_846,R-HSA-4090294,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of intracellular receptors,,,,
