module,KEGG_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway
K1_cpdb_288,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
K1_cpdb_322,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_cpdb_327,hsa05032,Human Diseases,Substance dependence,Morphine addiction
K1_cpdb_328,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_cpdb_364,hsa04814,Cellular Processes,Cell motility,Motor proteins
K1_cpdb_377,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
K1_cpdb_425,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
K1_cpdb_428,hsa00280,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation"
K1_cpdb_440,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_cpdb_443,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_cpdb_446,hsa04962,Organismal Systems,Excretory system,Vasopressin-regulated water reabsorption
K1_cpdb_448,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_cpdb_453,hsa05203,Human Diseases,Cancer: overview,Viral carcinogenesis
K1_cpdb_454,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_cpdb_474,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
K1_cpdb_480,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
K1_cpdb_483,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_cpdb_493,hsa04914,Organismal Systems,Endocrine system,Progesterone-mediated oocyte maturation
K1_cpdb_497,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
K1_cpdb_502,hsa04978,Organismal Systems,Digestive system,Mineral absorption
K1_cpdb_503,hsa04136,Cellular Processes,Transport and catabolism,Autophagy - other
K1_cpdb_504,hsa00785,Metabolism,Metabolism of cofactors and vitamins,Lipoic acid metabolism
K1_cpdb_523,hsa04814,Cellular Processes,Cell motility,Motor proteins
K1_cpdb_525,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
K1_cpdb_528,hsa04966,Organismal Systems,Excretory system,Collecting duct acid secretion
K1_cpdb_533,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
K1_cpdb_549,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
K1_cpdb_550,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
K1_cpdb_551,hsa00140,Metabolism,Lipid metabolism,Steroid hormone biosynthesis
K1_cpdb_574,hsa04140,Cellular Processes,Transport and catabolism,Autophagy - animal
K1_cpdb_595,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_cpdb_598,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_cpdb_599,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
K1_cpdb_601,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
K1_cpdb_613,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
K1_cpdb_630,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_cpdb_634,hsa04921,Organismal Systems,Endocrine system,Oxytocin signaling pathway
K1_cpdb_635,hsa04068,Environmental Information Processing,Signal transduction,FoxO signaling pathway
K1_cpdb_636,hsa04664,Organismal Systems,Immune system,Fc epsilon RI signaling pathway
K1_cpdb_637,hsa04392,Environmental Information Processing,Signal transduction,Hippo signaling pathway - multiple species
K1_cpdb_660,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
K1_cpdb_662,hsa01230,,,Biosynthesis of amino acids
K1_cpdb_669,hsa05130,Human Diseases,Infectious disease: bacterial,Pathogenic Escherichia coli infection
K1_cpdb_677,hsa04012,Environmental Information Processing,Signal transduction,ErbB signaling pathway
K1_cpdb_678,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
K1_cpdb_679,hsa04392,Environmental Information Processing,Signal transduction,Hippo signaling pathway - multiple species
K1_cpdb_687,hsa00514,Metabolism,Glycan biosynthesis and metabolism,Other types of O-glycan biosynthesis
K1_cpdb_698,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
K1_cpdb_699,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
K1_cpdb_700,hsa00040,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions
K1_cpdb_708,hsa03040,Genetic Information Processing,Transcription,Spliceosome
K1_cpdb_717,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
K1_cpdb_718,hsa01521,Human Diseases,Drug resistance: antineoplastic,EGFR tyrosine kinase inhibitor resistance
K1_cpdb_719,hsa04520,Cellular Processes,Cellular community - eukaryotes,Adherens junction
K1_cpdb_720,hsa04150,Environmental Information Processing,Signal transduction,mTOR signaling pathway
K1_cpdb_721,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
K1_cpdb_737,hsa05100,Human Diseases,Infectious disease: bacterial,Bacterial invasion of epithelial cells
K1_cpdb_745,hsa04261,Organismal Systems,Circulatory system,Adrenergic signaling in cardiomyocytes
K1_cpdb_756,hsa04621,Organismal Systems,Immune system,NOD-like receptor signaling pathway
K1_cpdb_757,hsa04060,Environmental Information Processing,Signaling molecules and interaction,Cytokine-cytokine receptor interaction
K1_cpdb_758,hsa04270,Organismal Systems,Circulatory system,Vascular smooth muscle contraction
K1_cpdb_768,hsa04072,Environmental Information Processing,Signal transduction,Phospholipase D signaling pathway
K1_cpdb_769,hsa05418,Human Diseases,Cardiovascular disease,Fluid shear stress and atherosclerosis
K1_cpdb_780,hsa01250,,,Biosynthesis of nucleotide sugars
K1_cpdb_781,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
K1_cpdb_789,hsa04666,Organismal Systems,Immune system,Fc gamma R-mediated phagocytosis
K1_cpdb_804,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
K1_cpdb_807,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_cpdb_811,hsa04961,Organismal Systems,Excretory system,Endocrine and other factor-regulated calcium reabsorption
K1_cpdb_812,hsa04668,Environmental Information Processing,Signal transduction,TNF signaling pathway
K1_cpdb_824,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
K1_cpdb_827,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
K1_cpdb_832,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
K1_cpdb_844,hsa05100,Human Diseases,Infectious disease: bacterial,Bacterial invasion of epithelial cells
K1_cpdb_845,hsa05166,Human Diseases,Infectious disease: viral,Human T-cell leukemia virus 1 infection
K1_cpdb_847,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
K1_cpdb_848,hsa03430,Genetic Information Processing,Replication and repair,Mismatch repair
K1_cpdb_856,hsa04814,Cellular Processes,Cell motility,Motor proteins
K1_cpdb_859,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
K1_cpdb_867,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_cpdb_877,hsa03420,Genetic Information Processing,Replication and repair,Nucleotide excision repair
K1_cpdb_881,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
K1_cpdb_882,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
K1_humanbase_23,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
K1_humanbase_34,hsa00232,Metabolism,Biosynthesis of other secondary metabolites,Caffeine metabolism
K1_humanbase_38,hsa04972,Organismal Systems,Digestive system,Pancreatic secretion
K1_humanbase_71,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
K1_humanbase_72,hsa00601,Metabolism,Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series
K1_humanbase_79,hsa04962,Organismal Systems,Excretory system,Vasopressin-regulated water reabsorption
K1_humanbase_83,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
K1_humanbase_123,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_humanbase_138,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
K1_humanbase_147,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
K1_humanbase_149,hsa04071,Environmental Information Processing,Signal transduction,Sphingolipid signaling pathway
K1_humanbase_163,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
K1_humanbase_164,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
K1_humanbase_173,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
K1_humanbase_182,hsa00280,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation"
K1_humanbase_186,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
K1_humanbase_192,hsa05012,Human Diseases,Neurodegenerative disease,Parkinson disease
K1_humanbase_193,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_humanbase_196,hsa04668,Environmental Information Processing,Signal transduction,TNF signaling pathway
K1_humanbase_206,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
K1_humanbase_212,hsa05135,Human Diseases,Infectious disease: bacterial,Yersinia infection
K1_humanbase_218,hsa01230,,,Biosynthesis of amino acids
K1_humanbase_223,hsa04216,Cellular Processes,Cell growth and death,Ferroptosis
K1_humanbase_234,hsa04662,Organismal Systems,Immune system,B cell receptor signaling pathway
K1_humanbase_261,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_humanbase_281,hsa05150,Human Diseases,Infectious disease: bacterial,Staphylococcus aureus infection
K1_humanbase_286,hsa05204,Human Diseases,Cancer: overview,Chemical carcinogenesis - DNA adducts
K1_humanbase_314,hsa04530,Cellular Processes,Cellular community - eukaryotes,Tight junction
K1_humanbase_319,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
K1_humanbase_322,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_humanbase_323,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_humanbase_330,hsa04974,Organismal Systems,Digestive system,Protein digestion and absorption
K1_humanbase_331,hsa05205,Human Diseases,Cancer: overview,Proteoglycans in cancer
K1_humanbase_349,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_humanbase_350,hsa05150,Human Diseases,Infectious disease: bacterial,Staphylococcus aureus infection
K1_humanbase_351,hsa04640,Organismal Systems,Immune system,Hematopoietic cell lineage
K1_humanbase_370,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_humanbase_371,hsa00052,Metabolism,Carbohydrate metabolism,Galactose metabolism
K1_humanbase_397,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
K1_humanbase_532,hsa04062,Organismal Systems,Immune system,Chemokine signaling pathway
K1_humanbase_541,hsa04916,Organismal Systems,Endocrine system,Melanogenesis
K1_string_8,hsa00053,Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism
K1_string_10,hsa05033,Human Diseases,Substance dependence,Nicotine addiction
K1_string_12,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
K1_string_14,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
K1_string_17,hsa00561,Metabolism,Lipid metabolism,Glycerolipid metabolism
K1_string_19,hsa00512,Metabolism,Glycan biosynthesis and metabolism,Mucin type O-glycan biosynthesis
K1_string_21,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
K1_string_22,hsa05412,Human Diseases,Cardiovascular disease,Arrhythmogenic right ventricular cardiomyopathy
K1_string_23,hsa05217,Human Diseases,Cancer: specific types,Basal cell carcinoma
K1_string_24,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_string_28,hsa03008,Genetic Information Processing,Translation,Ribosome biogenesis in eukaryotes
K1_string_29,hsa00601,Metabolism,Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series
K1_string_31,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
K1_string_33,hsa04964,Organismal Systems,Excretory system,Proximal tubule bicarbonate reclamation
K1_string_35,hsa00565,Metabolism,Lipid metabolism,Ether lipid metabolism
K1_string_36,hsa04966,Organismal Systems,Excretory system,Collecting duct acid secretion
K1_string_38,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
K1_string_39,hsa04974,Organismal Systems,Digestive system,Protein digestion and absorption
K1_string_43,hsa00230,Metabolism,Nucleotide metabolism,Purine metabolism
K1_string_46,hsa00100,Metabolism,Lipid metabolism,Steroid biosynthesis
K1_string_47,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
K1_string_48,hsa00562,Metabolism,Carbohydrate metabolism,Inositol phosphate metabolism
K1_string_51,hsa04725,Organismal Systems,Nervous system,Cholinergic synapse
K1_string_52,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
K1_string_53,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
K1_string_54,hsa05332,Human Diseases,Immune disease,Graft-versus-host disease
K1_string_57,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
K1_string_58,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
K1_string_60,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
K1_string_61,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
K1_string_62,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
K1_string_67,hsa00230,Metabolism,Nucleotide metabolism,Purine metabolism
K1_string_68,hsa04744,Organismal Systems,Sensory system,Phototransduction
K1_string_69,hsa04814,Cellular Processes,Cell motility,Motor proteins
K1_string_70,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
K1_string_84,hsa00310,Metabolism,Amino acid metabolism,Lysine degradation
K1_string_85,hsa04060,Environmental Information Processing,Signaling molecules and interaction,Cytokine-cytokine receptor interaction
K1_string_94,hsa00512,Metabolism,Glycan biosynthesis and metabolism,Mucin type O-glycan biosynthesis
K1_string_134,hsa00061,Metabolism,Lipid metabolism,Fatty acid biosynthesis
K1_string_141,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
K1_string_143,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
K1_string_144,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_string_145,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
K1_string_146,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
K1_string_150,hsa04814,Cellular Processes,Cell motility,Motor proteins
K1_string_151,hsa03060,Genetic Information Processing,"Folding, sorting and degradation",Protein export
K1_string_153,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
K1_string_157,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_string_163,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_string_164,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
K1_string_168,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
K1_string_170,hsa03040,Genetic Information Processing,Transcription,Spliceosome
K1_string_172,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
K1_string_173,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
K1_string_174,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
K1_string_177,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_string_178,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_string_179,hsa04814,Cellular Processes,Cell motility,Motor proteins
K1_string_180,hsa04730,Organismal Systems,Nervous system,Long-term depression
K1_string_181,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_string_182,hsa04714,Organismal Systems,Environmental adaptation,Thermogenesis
K1_string_185,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
K1_string_186,hsa00140,Metabolism,Lipid metabolism,Steroid hormone biosynthesis
K1_string_187,hsa00650,Metabolism,Carbohydrate metabolism,Butanoate metabolism
K1_string_188,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_string_189,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
K1_string_191,hsa05226,Human Diseases,Cancer: specific types,Gastric cancer
K1_string_192,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
K1_string_204,hsa04621,Organismal Systems,Immune system,NOD-like receptor signaling pathway
K1_string_206,hsa04657,Organismal Systems,Immune system,IL-17 signaling pathway
K1_string_257,hsa04540,Cellular Processes,Cellular community - eukaryotes,Gap junction
K1_string_258,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
K1_string_259,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
K1_string_261,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
K1_string_262,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_string_268,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
K1_string_270,hsa04810,Cellular Processes,Cell motility,Regulation of actin cytoskeleton
K1_string_272,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
K1_string_273,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
K1_string_274,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
K1_string_275,hsa00510,Metabolism,Glycan biosynthesis and metabolism,N-Glycan biosynthesis
K1_string_277,hsa04814,Cellular Processes,Cell motility,Motor proteins
K1_string_279,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
K1_string_284,hsa05416,Human Diseases,Cardiovascular disease,Viral myocarditis
K1_string_285,hsa04750,Organismal Systems,Sensory system,Inflammatory mediator regulation of TRP channels
K1_string_292,hsa04218,Cellular Processes,Cell growth and death,Cellular senescence
K1_string_297,hsa00562,Metabolism,Carbohydrate metabolism,Inositol phosphate metabolism
K1_string_326,hsa04931,Human Diseases,Endocrine and metabolic disease,Insulin resistance
K1_string_328,hsa00600,Metabolism,Lipid metabolism,Sphingolipid metabolism
K1_string_338,hsa04136,Cellular Processes,Transport and catabolism,Autophagy - other
K1_string_342,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
K1_string_343,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
K1_string_345,hsa04137,Cellular Processes,Transport and catabolism,Mitophagy - animal
K1_string_347,hsa04962,Organismal Systems,Excretory system,Vasopressin-regulated water reabsorption
K1_string_348,hsa04814,Cellular Processes,Cell motility,Motor proteins
K1_string_356,hsa03450,Genetic Information Processing,Replication and repair,Non-homologous end-joining
K1_string_359,hsa04720,Organismal Systems,Nervous system,Long-term potentiation
K1_string_360,hsa04152,Environmental Information Processing,Signal transduction,AMPK signaling pathway
K1_string_365,hsa00620,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
K1_string_367,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
K1_string_368,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
K1_string_369,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
K1_string_378,hsa04392,Environmental Information Processing,Signal transduction,Hippo signaling pathway - multiple species
K1_string_379,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
K1_string_380,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
K1_string_391,hsa04340,Environmental Information Processing,Signal transduction,Hedgehog signaling pathway
K1_string_403,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_string_407,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
K1_string_409,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
K1_string_410,hsa00590,Metabolism,Lipid metabolism,Arachidonic acid metabolism
K1_string_417,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_string_423,hsa04136,Cellular Processes,Transport and catabolism,Autophagy - other
K1_string_426,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
K1_string_427,hsa05216,Human Diseases,Cancer: specific types,Thyroid cancer
K1_string_428,hsa04022,Environmental Information Processing,Signal transduction,cGMP-PKG signaling pathway
K1_string_435,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
K1_string_436,hsa03430,Genetic Information Processing,Replication and repair,Mismatch repair
K1_string_438,hsa04014,Environmental Information Processing,Signal transduction,Ras signaling pathway
K1_string_439,hsa02010,Environmental Information Processing,Membrane transport,ABC transporters
K1_string_441,hsa04810,Cellular Processes,Cell motility,Regulation of actin cytoskeleton
K1_string_443,hsa01210,,,2-Oxocarboxylic acid metabolism
K1_string_447,hsa04721,Organismal Systems,Nervous system,Synaptic vesicle cycle
K1_string_451,hsa05416,Human Diseases,Cardiovascular disease,Viral myocarditis
K1_string_452,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
K1_string_455,hsa04210,Cellular Processes,Cell growth and death,Apoptosis
K1_string_456,hsa05210,Human Diseases,Cancer: specific types,Colorectal cancer
K1_string_457,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
K1_string_458,hsa04810,Cellular Processes,Cell motility,Regulation of actin cytoskeleton
K1_string_485,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
K1_string_491,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_string_495,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_string_496,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_string_497,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
K1_string_499,hsa04148,Cellular Processes,Transport and catabolism,Efferocytosis
K1_string_507,hsa00240,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
K1_string_509,hsa04530,Cellular Processes,Cellular community - eukaryotes,Tight junction
K1_string_512,hsa02010,Environmental Information Processing,Membrane transport,ABC transporters
K1_string_514,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
K1_string_515,hsa05202,Human Diseases,Cancer: overview,Transcriptional misregulation in cancer
K1_string_517,hsa04621,Organismal Systems,Immune system,NOD-like receptor signaling pathway
K1_string_518,hsa04622,Organismal Systems,Immune system,RIG-I-like receptor signaling pathway
K1_string_527,hsa04210,Cellular Processes,Cell growth and death,Apoptosis
K1_string_535,hsa00030,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
K1_string_536,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_string_547,hsa01040,Metabolism,Lipid metabolism,Biosynthesis of unsaturated fatty acids
K1_string_550,hsa02010,Environmental Information Processing,Membrane transport,ABC transporters
K1_string_556,hsa05135,Human Diseases,Infectious disease: bacterial,Yersinia infection
K1_string_557,hsa04960,Organismal Systems,Excretory system,Aldosterone-regulated sodium reabsorption
K1_string_558,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_string_567,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
K1_string_568,hsa05031,Human Diseases,Substance dependence,Amphetamine addiction
K1_string_569,hsa04392,Environmental Information Processing,Signal transduction,Hippo signaling pathway - multiple species
K1_string_570,hsa04150,Environmental Information Processing,Signal transduction,mTOR signaling pathway
K1_string_596,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_string_597,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
K1_string_599,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_string_602,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
K1_string_603,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
K1_string_612,hsa00600,Metabolism,Lipid metabolism,Sphingolipid metabolism
K1_string_630,hsa04750,Organismal Systems,Sensory system,Inflammatory mediator regulation of TRP channels
K1_string_638,hsa04977,Organismal Systems,Digestive system,Vitamin digestion and absorption
